Timestamp,PPS,Avg_Latency_ms,Mode,Workers
21:01:30,569.60,0.3466,PARALLEL,8
21:01:32,87.73,0.3501,PARALLEL,8
21:01:33,25.20,0.3505,PARALLEL,8
21:01:34,4.92,0.3500,PARALLEL,8
21:01:35,31.85,0.3588,PARALLEL,8
21:01:36,52.84,0.3657,PARALLEL,8
21:01:37,37.28,0.3674,PARALLEL,8
21:01:38,28.68,0.3669,PARALLEL,8
21:01:40,28.35,0.3689,PARALLEL,8
21:01:41,17.71,0.3679,PARALLEL,8
21:01:42,21.91,0.3679,PARALLEL,8
21:01:43,51.01,0.3719,PARALLEL,8
21:01:44,55.22,0.3734,PARALLEL,8
21:01:45,39.12,0.3761,PARALLEL,8
21:01:46,87.94,0.3798,PARALLEL,8
21:02:04,0.33,2.4431,SEQUENTIAL,1
21:02:05,14.50,0.3894,SEQUENTIAL,1
21:02:06,37.28,0.4396,SEQUENTIAL,1
21:02:07,67.92,0.4853,SEQUENTIAL,1
21:02:08,104.62,0.4133,SEQUENTIAL,1
21:02:09,15.17,0.4094,SEQUENTIAL,1
21:02:10,109.02,0.3953,SEQUENTIAL,1
21:02:13,16.35,0.3936,SEQUENTIAL,1
21:02:14,52.01,0.4024,SEQUENTIAL,1
21:02:15,10.29,0.4126,SEQUENTIAL,1
21:02:16,21.36,0.4365,SEQUENTIAL,1
21:02:18,10.49,0.4367,SEQUENTIAL,1
21:02:19,12.84,0.4492,SEQUENTIAL,1
21:02:20,40.53,0.4544,SEQUENTIAL,1
21:02:21,27.47,0.4716,SEQUENTIAL,1
21:02:22,7.92,0.4778,SEQUENTIAL,1
21:02:24,18.39,0.4735,SEQUENTIAL,1
21:36:58,0.40,0.0000,SEQUENTIAL,1
21:37:00,3.74,0.2383,SEQUENTIAL,1
21:37:01,6.18,0.1562,SEQUENTIAL,1
21:37:03,16.25,0.4913,SEQUENTIAL,1
21:37:04,11.25,0.5121,SEQUENTIAL,1
21:37:06,10.05,0.4860,SEQUENTIAL,1
21:37:07,37.45,0.5289,SEQUENTIAL,1
21:37:09,12.14,0.5329,SEQUENTIAL,1
21:37:10,0.70,0.5293,SEQUENTIAL,1
21:37:11,30.50,0.4568,SEQUENTIAL,1
21:37:12,30.08,0.3981,SEQUENTIAL,1
21:37:14,25.60,0.4214,SEQUENTIAL,1
21:37:15,5.03,0.4164,SEQUENTIAL,1
21:37:16,55.81,0.4546,SEQUENTIAL,1
21:37:17,26.79,0.4538,SEQUENTIAL,1
21:37:19,25.25,0.4678,SEQUENTIAL,1
21:37:20,39.00,0.4939,SEQUENTIAL,1
21:37:21,24.37,0.5361,SEQUENTIAL,1
21:37:22,10.38,0.5584,SEQUENTIAL,1
21:37:23,26.45,0.5599,SEQUENTIAL,1
21:40:16,0.45,0.0000,SEQUENTIAL,1
21:40:17,22.95,0.6505,SEQUENTIAL,1
21:40:19,5.62,0.7183,SEQUENTIAL,1
21:40:20,2.95,0.7003,SEQUENTIAL,1
21:40:22,14.46,0.8238,SEQUENTIAL,1
21:40:23,39.19,0.6054,SEQUENTIAL,1
21:40:24,102.93,0.5636,SEQUENTIAL,1
21:40:26,5.64,0.5513,SEQUENTIAL,1
21:40:27,5.21,0.5480,SEQUENTIAL,1
21:40:28,3.26,0.5402,SEQUENTIAL,1
21:40:29,29.04,0.5586,SEQUENTIAL,1
21:40:31,172.29,0.4737,SEQUENTIAL,1
21:40:32,50.48,0.4701,SEQUENTIAL,1
21:40:33,46.77,0.4751,SEQUENTIAL,1
21:40:34,18.47,0.4730,SEQUENTIAL,1
21:40:35,83.30,0.4643,SEQUENTIAL,1
21:40:37,71.99,0.4432,SEQUENTIAL,1
21:40:38,58.96,0.4385,SEQUENTIAL,1
21:40:39,29.65,0.4490,SEQUENTIAL,1
21:40:40,13.29,0.4450,SEQUENTIAL,1
21:40:41,79.81,0.4396,SEQUENTIAL,1
21:40:42,36.96,0.4349,SEQUENTIAL,1
21:40:44,10.88,0.4305,SEQUENTIAL,1
21:40:45,59.05,0.4363,SEQUENTIAL,1
21:40:46,26.12,0.4322,SEQUENTIAL,1
21:40:47,89.45,0.4188,SEQUENTIAL,1
21:40:49,11.53,0.4216,SEQUENTIAL,1
